Agency,Driver Area,Race,Year,Agency Type,type,statistic
All Vermont Agencies,All Vermont, Black,2013,multiple,Traffic Stop Count,1854
All Vermont Agencies,All Vermont, Asian,2013,multiple,Traffic Stop Count,1165
All Vermont Agencies,All Vermont, Hispanic,2013,multiple,Traffic Stop Count,672
All Vermont Agencies,All Vermont, White,2014,multiple,Traffic Stop Count,77232
All Vermont Agencies,All Vermont, Black,2014,multiple,Traffic Stop Count,2384
All Vermont Agencies,All Vermont, Asian,2014,multiple,Traffic Stop Count,1471
All Vermont Agencies,All Vermont, Hispanic,2014,multiple,Traffic Stop Count,728
All Vermont Agencies,All Vermont, White,2015,multiple,Traffic Stop Count,103654
All Vermont Agencies,All Vermont, Black,2015,multiple,Traffic Stop Count,3152
All Vermont Agencies,All Vermont, Asian,2015,multiple,Traffic Stop Count,1801
All Vermont Agencies,All Vermont, Hispanic,2015,multiple,Traffic Stop Count,1094
All Vermont Agencies,All Vermont, White,2016,multiple,Traffic Stop Count,97336
All Vermont Agencies,All Vermont, Black,2016,multiple,Traffic Stop Count,2939
All Vermont Agencies,All Vermont, Asian,2016,multiple,Traffic Stop Count,1777
All Vermont Agencies,All Vermont, Hispanic,2016,multiple,Traffic Stop Count,1117
All Vermont Agencies,All Vermont, White,2017,multiple,Traffic Stop Count,163246
All Vermont Agencies,All Vermont, Black,2017,multiple,Traffic Stop Count,4621
All Vermont Agencies,All Vermont, Asian,2017,multiple,Traffic Stop Count,3243
All Vermont Agencies,All Vermont, Hispanic,2017,multiple,Traffic Stop Count,1997
All Vermont Agencies,All Vermont, White,2018,multiple,Traffic Stop Count,151150
All Vermont Agencies,All Vermont, Black,2018,multiple,Traffic Stop Count,4655
All Vermont Agencies,All Vermont, Asian,2018,multiple,Traffic Stop Count,2849
All Vermont Agencies,All Vermont, Hispanic,2018,multiple,Traffic Stop Count,1893
All Vermont Agencies,All Vermont, White,2019,multiple,Traffic Stop Count,85949
All Vermont Agencies,All Vermont, Black,2019,multiple,Traffic Stop Count,3453
All Vermont Agencies,All Vermont, Asian,2019,multiple,Traffic Stop Count,2027
All Vermont Agencies,All Vermont, Hispanic,2019,multiple,Traffic Stop Count,1232
Barre City Police,Barre City, White,2014,police,Traffic Stop Count,156
Barre City Police,Barre City, Black,2014,police,Traffic Stop Count,3
Barre City Police,Barre City, Hispanic,2014,police,Traffic Stop Count,2
Barre City Police,Barre City, White,2015,police,Traffic Stop Count,392
