Agency,Driver Area,Race,Year,Agency Type,type,statistic
Williston Police,Williston, Hispanic,2019,police,Traffic Stop Count,57
Wilmington Police,Wilmington, White,2015,police,Traffic Stop Count,219
Wilmington Police,Wilmington, Black,2015,police,Traffic Stop Count,6
Wilmington Police,Wilmington, Asian,2015,police,Traffic Stop Count,1
Wilmington Police,Wilmington, Hispanic,2015,police,Traffic Stop Count,6
Wilmington Police,Wilmington, White,2016,police,Traffic Stop Count,509
Wilmington Police,Wilmington, Black,2016,police,Traffic Stop Count,4
Wilmington Police,Wilmington, Asian,2016,police,Traffic Stop Count,9
Wilmington Police,Wilmington, Hispanic,2016,police,Traffic Stop Count,9
Wilmington Police,Wilmington, White,2017,police,Traffic Stop Count,1329
Wilmington Police,Wilmington, Black,2017,police,Traffic Stop Count,29
Wilmington Police,Wilmington, Asian,2017,police,Traffic Stop Count,21
Wilmington Police,Wilmington, Hispanic,2017,police,Traffic Stop Count,34
Wilmington Police,Wilmington, White,2018,police,Traffic Stop Count,877
Wilmington Police,Wilmington, Black,2018,police,Traffic Stop Count,21
Wilmington Police,Wilmington, Asian,2018,police,Traffic Stop Count,16
Wilmington Police,Wilmington, Hispanic,2018,police,Traffic Stop Count,34
Windham County Sheriff,Windham County, White,2017,sheriff,Traffic Stop Count,2584
Windham County Sheriff,Windham County, Black,2017,sheriff,Traffic Stop Count,17
Windham County Sheriff,Windham County, Asian,2017,sheriff,Traffic Stop Count,11
Windham County Sheriff,Windham County, Hispanic,2017,sheriff,Traffic Stop Count,11
Windham County Sheriff,Windham County, White,2018,sheriff,Traffic Stop Count,2867
Windham County Sheriff,Windham County, Black,2018,sheriff,Traffic Stop Count,11
Windham County Sheriff,Windham County, Asian,2018,sheriff,Traffic Stop Count,5
Windham County Sheriff,Windham County, Hispanic,2018,sheriff,Traffic Stop Count,18
Windsor County Sheriff,Windsor County, White,2017,sheriff,Traffic Stop Count,6111
Windsor County Sheriff,Windsor County, Black,2017,sheriff,Traffic Stop Count,75
Windsor County Sheriff,Windsor County, Asian,2017,sheriff,Traffic Stop Count,164
Windsor County Sheriff,Windsor County, Hispanic,2017,sheriff,Traffic Stop Count,91
Windsor County Sheriff,Windsor County, White,2018,sheriff,Traffic Stop Count,6383
Windsor County Sheriff,Windsor County, Black,2018,sheriff,Traffic Stop Count,81
Windsor County Sheriff,Windsor County, Asian,2018,sheriff,Traffic Stop Count,173
Windsor County Sheriff,Windsor County, Hispanic,2018,sheriff,Traffic Stop Count,90
Windsor Police,Windsor, White,2015,police,Traffic Stop Count,195
Windsor Police,Windsor, Black,2015,police,Traffic Stop Count,6
Windsor Police,Windsor, Hispanic,2015,police,Traffic Stop Count,4
Windsor Police,Windsor, White,2016,police,Traffic Stop Count,614
Windsor Police,Windsor, Black,2016,police,Traffic Stop Count,11
Windsor Police,Windsor, Asian,2016,police,Traffic Stop Count,5
Windsor Police,Windsor, Hispanic,2016,police,Traffic Stop Count,9
Windsor Police,Windsor, White,2018,police,Traffic Stop Count,833
Windsor Police,Windsor, Black,2018,police,Traffic Stop Count,16
Windsor Police,Windsor, Asian,2018,police,Traffic Stop Count,5
Windsor Police,Windsor, Hispanic,2018,police,Traffic Stop Count,4
Winhall Police,Winhall, White,2017,police,Traffic Stop Count,1049
Winhall Police,Winhall, Black,2017,police,Traffic Stop Count,23
Winhall Police,Winhall, Asian,2017,police,Traffic Stop Count,10
Winhall Police,Winhall, Hispanic,2017,police,Traffic Stop Count,12
Winhall Police,Winhall, White,2018,police,Traffic Stop Count,928
Winhall Police,Winhall, Black,2018,police,Traffic Stop Count,20
Winhall Police,Winhall, Asian,2018,police,Traffic Stop Count,25
Winooski Police,Winooski, White,2012,police,Traffic Stop Count,723
Winooski Police,Winooski, Black,2012,police,Traffic Stop Count,69
Winooski Police,Winooski, Asian,2012,police,Traffic Stop Count,36
Winooski Police,Winooski, Hispanic,2012,police,Traffic Stop Count,4
Winooski Police,Winooski, White,2013,police,Traffic Stop Count,1194
Winooski Police,Winooski, Black,2013,police,Traffic Stop Count,142
Winooski Police,Winooski, Asian,2013,police,Traffic Stop Count,60
Winooski Police,Winooski, Hispanic,2013,police,Traffic Stop Count,5
Winooski Police,Winooski, White,2014,police,Traffic Stop Count,1038
Winooski Police,Winooski, Black,2014,police,Traffic Stop Count,94
Winooski Police,Winooski, Asian,2014,police,Traffic Stop Count,47
Winooski Police,Winooski, Hispanic,2014,police,Traffic Stop Count,8
Winooski Police,Winooski, White,2015,police,Traffic Stop Count,1229
Winooski Police,Winooski, Black,2015,police,Traffic Stop Count,152
Winooski Police,Winooski, Asian,2015,police,Traffic Stop Count,67
Winooski Police,Winooski, Hispanic,2015,police,Traffic Stop Count,19
Winooski Police,Winooski, White,2016,police,Traffic Stop Count,1004
Winooski Police,Winooski, Black,2016,police,Traffic Stop Count,137
Winooski Police,Winooski, Asian,2016,police,Traffic Stop Count,67
Winooski Police,Winooski, Hispanic,2016,police,Traffic Stop Count,7
Winooski Police,Winooski, White,2017,police,Traffic Stop Count,986
Winooski Police,Winooski, Black,2017,police,Traffic Stop Count,127
Winooski Police,Winooski, Asian,2017,police,Traffic Stop Count,65
Winooski Police,Winooski, White,2018,police,Traffic Stop Count,1384
Winooski Police,Winooski, Black,2018,police,Traffic Stop Count,219
Winooski Police,Winooski, Asian,2018,police,Traffic Stop Count,77
Winooski Police,Winooski, Hispanic,2018,police,Traffic Stop Count,4
Winooski Police,Winooski, White,2019,police,Traffic Stop Count,1296
Winooski Police,Winooski, Black,2019,police,Traffic Stop Count,266
Winooski Police,Winooski, Asian,2019,police,Traffic Stop Count,73
Winooski Police,Winooski, Hispanic,2019,police,Traffic Stop Count,4
Woodstock Police,Woodstock, White,2015,police,Traffic Stop Count,183
Woodstock Police,Woodstock, Black,2015,police,Traffic Stop Count,2
Woodstock Police,Woodstock, Asian,2015,police,Traffic Stop Count,7
Woodstock Police,Woodstock, Hispanic,2015,police,Traffic Stop Count,5
Woodstock Police,Woodstock, White,2016,police,Traffic Stop Count,322
Woodstock Police,Woodstock, Black,2016,police,Traffic Stop Count,10
Woodstock Police,Woodstock, Asian,2016,police,Traffic Stop Count,7
Woodstock Police,Woodstock, Hispanic,2016,police,Traffic Stop Count,17
Woodstock Police,Woodstock, White,2017,police,Traffic Stop Count,1196
Woodstock Police,Woodstock, Black,2017,police,Traffic Stop Count,40
Woodstock Police,Woodstock, Asian,2017,police,Traffic Stop Count,34
Woodstock Police,Woodstock, Hispanic,2017,police,Traffic Stop Count,35
Woodstock Police,Woodstock, White,2018,police,Traffic Stop Count,954
Woodstock Police,Woodstock, Black,2018,police,Traffic Stop Count,44
Woodstock Police,Woodstock, Asian,2018,police,Traffic Stop Count,20
Woodstock Police,Woodstock, Hispanic,2018,police,Traffic Stop Count,38
Addison County Sheriff,Addison County, White,2014,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Black,2014,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Asian,2014,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Hispanic,2014,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, White,2015,sheriff,Arrest Counts,4
Addison County Sheriff,Addison County, Black,2015,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Asian,2015,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Hispanic,2015,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, White,2016,sheriff,Arrest Counts,1
Addison County Sheriff,Addison County, Black,2016,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Asian,2016,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Hispanic,2016,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, White,2017,sheriff,Arrest Counts,1
Addison County Sheriff,Addison County, Black,2017,sheriff,Arrest Counts,1
Addison County Sheriff,Addison County, Asian,2017,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Hispanic,2017,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, White,2018,sheriff,Arrest Counts,1
Addison County Sheriff,Addison County, Black,2018,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Asian,2018,sheriff,Arrest Counts,0
Addison County Sheriff,Addison County, Hispanic,2018,sheriff,Arrest Counts,0
All Police,All Vermont, White,2011,police,Arrest Counts,15
All Police,All Vermont, Black,2011,police,Arrest Counts,1
All Police,All Vermont, Asian,2011,police,Arrest Counts,1
All Police,All Vermont, Hispanic,2011,police,Arrest Counts,0
All Police,All Vermont, White,2012,police,Arrest Counts,110
All Police,All Vermont, Black,2012,police,Arrest Counts,10
All Police,All Vermont, Asian,2012,police,Arrest Counts,3
All Police,All Vermont, Hispanic,2012,police,Arrest Counts,1
All Police,All Vermont, White,2013,police,Arrest Counts,307
All Police,All Vermont, Black,2013,police,Arrest Counts,25
All Police,All Vermont, Asian,2013,police,Arrest Counts,3
All Police,All Vermont, Hispanic,2013,police,Arrest Counts,2
All Police,All Vermont, White,2014,police,Arrest Counts,322
All Police,All Vermont, Black,2014,police,Arrest Counts,20
All Police,All Vermont, Asian,2014,police,Arrest Counts,5
All Police,All Vermont, Hispanic,2014,police,Arrest Counts,3
All Police,All Vermont, White,2015,police,Arrest Counts,633
All Police,All Vermont, Black,2015,police,Arrest Counts,41
All Police,All Vermont, Asian,2015,police,Arrest Counts,11
All Police,All Vermont, Hispanic,2015,police,Arrest Counts,6
All Police,All Vermont, White,2016,police,Arrest Counts,430
All Police,All Vermont, Black,2016,police,Arrest Counts,19
All Police,All Vermont, Asian,2016,police,Arrest Counts,7
All Police,All Vermont, Hispanic,2016,police,Arrest Counts,7
All Police,All Vermont, White,2017,police,Arrest Counts,904
All Police,All Vermont, Black,2017,police,Arrest Counts,65
All Police,All Vermont, Asian,2017,police,Arrest Counts,14
All Police,All Vermont, Hispanic,2017,police,Arrest Counts,15
All Police,All Vermont, White,2018,police,Arrest Counts,1072
All Police,All Vermont, Black,2018,police,Arrest Counts,67
All Police,All Vermont, Asian,2018,police,Arrest Counts,15
All Police,All Vermont, Hispanic,2018,police,Arrest Counts,19
All Police,All Vermont, White,2019,police,Arrest Counts,593
All Police,All Vermont, Black,2019,police,Arrest Counts,59
All Police,All Vermont, Asian,2019,police,Arrest Counts,8
All Police,All Vermont, Hispanic,2019,police,Arrest Counts,13
All Sheriffs,All Vermont, White,2014,sheriff,Arrest Counts,6
All Sheriffs,All Vermont, Black,2014,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Asian,2014,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Hispanic,2014,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, White,2015,sheriff,Arrest Counts,40
All Sheriffs,All Vermont, Black,2015,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Asian,2015,sheriff,Arrest Counts,1
All Sheriffs,All Vermont, Hispanic,2015,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, White,2016,sheriff,Arrest Counts,23
All Sheriffs,All Vermont, Black,2016,sheriff,Arrest Counts,1
All Sheriffs,All Vermont, Asian,2016,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Hispanic,2016,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, White,2017,sheriff,Arrest Counts,112
All Sheriffs,All Vermont, Black,2017,sheriff,Arrest Counts,3
All Sheriffs,All Vermont, Asian,2017,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Hispanic,2017,sheriff,Arrest Counts,2
All Sheriffs,All Vermont, White,2018,sheriff,Arrest Counts,223
All Sheriffs,All Vermont, Black,2018,sheriff,Arrest Counts,3
All Sheriffs,All Vermont, Asian,2018,sheriff,Arrest Counts,0
All Sheriffs,All Vermont, Hispanic,2018,sheriff,Arrest Counts,5
All Vermont Agencies,All Vermont, White,2010,multiple,Arrest Counts,213
All Vermont Agencies,All Vermont, Black,2010,multiple,Arrest Counts,5
All Vermont Agencies,All Vermont, Asian,2010,multiple,Arrest Counts,0
All Vermont Agencies,All Vermont, Hispanic,2010,multiple,Arrest Counts,5
All Vermont Agencies,All Vermont, White,2011,multiple,Arrest Counts,442
All Vermont Agencies,All Vermont, Black,2011,multiple,Arrest Counts,20
All Vermont Agencies,All Vermont, Asian,2011,multiple,Arrest Counts,1
All Vermont Agencies,All Vermont, Hispanic,2011,multiple,Arrest Counts,6
All Vermont Agencies,All Vermont, White,2012,multiple,Arrest Counts,569
All Vermont Agencies,All Vermont, Black,2012,multiple,Arrest Counts,28
All Vermont Agencies,All Vermont, Asian,2012,multiple,Arrest Counts,7
All Vermont Agencies,All Vermont, Hispanic,2012,multiple,Arrest Counts,4
All Vermont Agencies,All Vermont, White,2013,multiple,Arrest Counts,823
All Vermont Agencies,All Vermont, Black,2013,multiple,Arrest Counts,47
All Vermont Agencies,All Vermont, Asian,2013,multiple,Arrest Counts,7
All Vermont Agencies,All Vermont, Hispanic,2013,multiple,Arrest Counts,12
All Vermont Agencies,All Vermont, White,2014,multiple,Arrest Counts,789
All Vermont Agencies,All Vermont, Black,2014,multiple,Arrest Counts,39
All Vermont Agencies,All Vermont, Asian,2014,multiple,Arrest Counts,9
All Vermont Agencies,All Vermont, Hispanic,2014,multiple,Arrest Counts,12
All Vermont Agencies,All Vermont, White,2015,multiple,Arrest Counts,1040
All Vermont Agencies,All Vermont, Black,2015,multiple,Arrest Counts,61
All Vermont Agencies,All Vermont, Asian,2015,multiple,Arrest Counts,20
All Vermont Agencies,All Vermont, Hispanic,2015,multiple,Arrest Counts,14
All Vermont Agencies,All Vermont, White,2016,multiple,Arrest Counts,761
All Vermont Agencies,All Vermont, Black,2016,multiple,Arrest Counts,37
All Vermont Agencies,All Vermont, Asian,2016,multiple,Arrest Counts,9
All Vermont Agencies,All Vermont, Hispanic,2016,multiple,Arrest Counts,14
All Vermont Agencies,All Vermont, White,2017,multiple,Arrest Counts,1511
All Vermont Agencies,All Vermont, Black,2017,multiple,Arrest Counts,91
All Vermont Agencies,All Vermont, Asian,2017,multiple,Arrest Counts,24
All Vermont Agencies,All Vermont, Hispanic,2017,multiple,Arrest Counts,28
All Vermont Agencies,All Vermont, White,2018,multiple,Arrest Counts,2671
All Vermont Agencies,All Vermont, Black,2018,multiple,Arrest Counts,116
All Vermont Agencies,All Vermont, Asian,2018,multiple,Arrest Counts,30
All Vermont Agencies,All Vermont, Hispanic,2018,multiple,Arrest Counts,41
All Vermont Agencies,All Vermont, White,2019,multiple,Arrest Counts,1623
All Vermont Agencies,All Vermont, Black,2019,multiple,Arrest Counts,109
All Vermont Agencies,All Vermont, Asian,2019,multiple,Arrest Counts,25
All Vermont Agencies,All Vermont, Hispanic,2019,multiple,Arrest Counts,38
Barre City Police,Barre City, White,2014,police,Arrest Counts,6
Barre City Police,Barre City, Black,2014,police,Arrest Counts,0
Barre City Police,Barre City, Hispanic,2014,police,Arrest Counts,0
Barre City Police,Barre City, White,2015,police,Arrest Counts,20
Barre City Police,Barre City, Black,2015,police,Arrest Counts,0
Barre City Police,Barre City, Hispanic,2015,police,Arrest Counts,0
Barre City Police,Barre City, White,2017,police,Arrest Counts,11
Barre City Police,Barre City, Black,2017,police,Arrest Counts,0
Barre City Police,Barre City, Hispanic,2017,police,Arrest Counts,0
Barre City Police,Barre City, White,2018,police,Arrest Counts,23
Barre City Police,Barre City, Black,2018,police,Arrest Counts,2
Barre City Police,Barre City, Asian,2018,police,Arrest Counts,0
Barre City Police,Barre City, Hispanic,2018,police,Arrest Counts,0
Barre Town Police,Barre Town, White,2014,police,Arrest Counts,0
Barre Town Police,Barre Town, Black,2014,police,Arrest Counts,0
Barre Town Police,Barre Town, Hispanic,2014,police,Arrest Counts,0
Barre Town Police,Barre Town, White,2015,police,Arrest Counts,0
Barre Town Police,Barre Town, Black,2015,police,Arrest Counts,0
Barre Town Police,Barre Town, Asian,2015,police,Arrest Counts,0
Barre Town Police,Barre Town, Hispanic,2015,police,Arrest Counts,0
Barre Town Police,Barre Town, White,2016,police,Arrest Counts,0
Barre Town Police,Barre Town, Black,2016,police,Arrest Counts,0
Barre Town Police,Barre Town, Hispanic,2016,police,Arrest Counts,0
Barre Town Police,Barre Town, White,2017,police,Arrest Counts,2
Barre Town Police,Barre Town, Black,2017,police,Arrest Counts,0
Barre Town Police,Barre Town, Asian,2017,police,Arrest Counts,0
Barre Town Police,Barre Town, Hispanic,2017,police,Arrest Counts,0
Barre Town Police,Barre Town, White,2018,police,Arrest Counts,3
Barre Town Police,Barre Town, Black,2018,police,Arrest Counts,0
Barre Town Police,Barre Town, Asian,2018,police,Arrest Counts,0
Barre Town Police,Barre Town, Hispanic,2018,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, White,2016,police,Arrest Counts,25
Bellows Falls Police,Bellows Falls, Black,2016,police,Arrest Counts,1
Bellows Falls Police,Bellows Falls, Asian,2016,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, White,2017,police,Arrest Counts,13
Bellows Falls Police,Bellows Falls, Black,2017,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, Asian,2017,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, Hispanic,2017,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, White,2018,police,Arrest Counts,22
Bellows Falls Police,Bellows Falls, Black,2018,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, Asian,2018,police,Arrest Counts,0
Bellows Falls Police,Bellows Falls, Hispanic,2018,police,Arrest Counts,0
Bennington County Sheriff,Bennington County, White,2017,sheriff,Arrest Counts,4
Bennington County Sheriff,Bennington County, Black,2017,sheriff,Arrest Counts,0
Bennington County Sheriff,Bennington County, Asian,2017,sheriff,Arrest Counts,0
Bennington County Sheriff,Bennington County, Hispanic,2017,sheriff,Arrest Counts,0
Bennington County Sheriff,Bennington County, White,2018,sheriff,Arrest Counts,5
Bennington County Sheriff,Bennington County, Black,2018,sheriff,Arrest Counts,0
Bennington County Sheriff,Bennington County, Asian,2018,sheriff,Arrest Counts,0
Bennington County Sheriff,Bennington County, Hispanic,2018,sheriff,Arrest Counts,0
Bennington Police,Bennington, White,2014,police,Arrest Counts,8
Bennington Police,Bennington, Black,2014,police,Arrest Counts,0
Bennington Police,Bennington, Asian,2014,police,Arrest Counts,0
Bennington Police,Bennington, Hispanic,2014,police,Arrest Counts,0
Bennington Police,Bennington, White,2015,police,Arrest Counts,74
Bennington Police,Bennington, Black,2015,police,Arrest Counts,2
Bennington Police,Bennington, Asian,2015,police,Arrest Counts,3
Bennington Police,Bennington, Hispanic,2015,police,Arrest Counts,2
Bennington Police,Bennington, White,2016,police,Arrest Counts,30
Bennington Police,Bennington, Black,2016,police,Arrest Counts,0
Bennington Police,Bennington, Asian,2016,police,Arrest Counts,0
Bennington Police,Bennington, Hispanic,2016,police,Arrest Counts,1
Bennington Police,Bennington, White,2017,police,Arrest Counts,62
Bennington Police,Bennington, Black,2017,police,Arrest Counts,3
Bennington Police,Bennington, Asian,2017,police,Arrest Counts,1
Bennington Police,Bennington, Hispanic,2017,police,Arrest Counts,2
Bennington Police,Bennington, White,2018,police,Arrest Counts,100
Bennington Police,Bennington, Black,2018,police,Arrest Counts,5
Bennington Police,Bennington, Asian,2018,police,Arrest Counts,0
Bennington Police,Bennington, Hispanic,2018,police,Arrest Counts,3
Bennington Police,Bennington, White,2019,police,Arrest Counts,77
Bennington Police,Bennington, Black,2019,police,Arrest Counts,3
Bennington Police,Bennington, Asian,2019,police,Arrest Counts,0
Bennington Police,Bennington, Hispanic,2019,police,Arrest Counts,5
Berlin Police,Berlin, White,2015,police,Arrest Counts,0
Berlin Police,Berlin, Black,2015,police,Arrest Counts,0
Berlin Police,Berlin, Asian,2015,police,Arrest Counts,0
Berlin Police,Berlin, White,2016,police,Arrest Counts,0
Berlin Police,Berlin, Black,2016,police,Arrest Counts,0
Berlin Police,Berlin, Asian,2016,police,Arrest Counts,0
Berlin Police,Berlin, Hispanic,2016,police,Arrest Counts,0
Berlin Police,Berlin, White,2017,police,Arrest Counts,0
Berlin Police,Berlin, Black,2017,police,Arrest Counts,0
Berlin Police,Berlin, Hispanic,2017,police,Arrest Counts,0
Berlin Police,Berlin, White,2018,police,Arrest Counts,75
Berlin Police,Berlin, Black,2018,police,Arrest Counts,5
Berlin Police,Berlin, Asian,2018,police,Arrest Counts,0
Berlin Police,Berlin, Hispanic,2018,police,Arrest Counts,0
Bradford Police,Bradford, White,2015,police,Arrest Counts,0
Bradford Police,Bradford, White,2016,police,Arrest Counts,0
Bradford Police,Bradford, White,2017,police,Arrest Counts,0
Bradford Police,Bradford, Black,2017,police,Arrest Counts,0
Bradford Police,Bradford, Asian,2017,police,Arrest Counts,0
Bradford Police,Bradford, Hispanic,2017,police,Arrest Counts,0
Bradford Police,Bradford, White,2018,police,Arrest Counts,0
Bradford Police,Bradford, Black,2018,police,Arrest Counts,0
Bradford Police,Bradford, Asian,2018,police,Arrest Counts,0
Bradford Police,Bradford, Hispanic,2018,police,Arrest Counts,0
Brandon Police,Brandon, White,2014,police,Arrest Counts,7
Brandon Police,Brandon, Black,2014,police,Arrest Counts,0
Brandon Police,Brandon, Asian,2014,police,Arrest Counts,0
Brandon Police,Brandon, Hispanic,2014,police,Arrest Counts,0
Brandon Police,Brandon, White,2015,police,Arrest Counts,21
Brandon Police,Brandon, Black,2015,police,Arrest Counts,0
Brandon Police,Brandon, Asian,2015,police,Arrest Counts,0
Brandon Police,Brandon, Hispanic,2015,police,Arrest Counts,0
Brandon Police,Brandon, White,2016,police,Arrest Counts,6
Brandon Police,Brandon, Black,2016,police,Arrest Counts,0
Brandon Police,Brandon, Asian,2016,police,Arrest Counts,0
Brandon Police,Brandon, Hispanic,2016,police,Arrest Counts,0
Brandon Police,Brandon, White,2017,police,Arrest Counts,15
Brandon Police,Brandon, Black,2017,police,Arrest Counts,0
Brandon Police,Brandon, Asian,2017,police,Arrest Counts,0
Brandon Police,Brandon, Hispanic,2017,police,Arrest Counts,0
Brandon Police,Brandon, White,2018,police,Arrest Counts,9
Brandon Police,Brandon, Black,2018,police,Arrest Counts,0
Brandon Police,Brandon, Asian,2018,police,Arrest Counts,0
Brandon Police,Brandon, Hispanic,2018,police,Arrest Counts,0
Brattleboro Police,Brattleboro, White,2014,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Black,2014,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Asian,2014,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Hispanic,2014,police,Arrest Counts,0
Brattleboro Police,Brattleboro, White,2015,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Black,2015,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Asian,2015,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Hispanic,2015,police,Arrest Counts,0
Brattleboro Police,Brattleboro, White,2016,police,Arrest Counts,30
Brattleboro Police,Brattleboro, Black,2016,police,Arrest Counts,5
Brattleboro Police,Brattleboro, Asian,2016,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Hispanic,2016,police,Arrest Counts,0
Brattleboro Police,Brattleboro, White,2017,police,Arrest Counts,61
Brattleboro Police,Brattleboro, Black,2017,police,Arrest Counts,8
Brattleboro Police,Brattleboro, Asian,2017,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Hispanic,2017,police,Arrest Counts,3
Brattleboro Police,Brattleboro, White,2018,police,Arrest Counts,35
Brattleboro Police,Brattleboro, Black,2018,police,Arrest Counts,7
Brattleboro Police,Brattleboro, Asian,2018,police,Arrest Counts,0
Brattleboro Police,Brattleboro, Hispanic,2018,police,Arrest Counts,1
Brattleboro Police,Brattleboro, White,2019,police,Arrest Counts,11
Brattleboro Police,Brattleboro, Black,2019,police,Arrest Counts,1
Brattleboro Police,Brattleboro, Asian,2019,police,Arrest Counts,1
Brattleboro Police,Brattleboro, Hispanic,2019,police,Arrest Counts,0
Bristol Police,Bristol, White,2014,police,Arrest Counts,2
Bristol Police,Bristol, Black,2014,police,Arrest Counts,0
Bristol Police,Bristol, White,2015,police,Arrest Counts,3
Bristol Police,Bristol, Black,2015,police,Arrest Counts,0
Bristol Police,Bristol, Hispanic,2015,police,Arrest Counts,0
Bristol Police,Bristol, White,2016,police,Arrest Counts,2
Bristol Police,Bristol, White,2017,police,Arrest Counts,2
Bristol Police,Bristol, Black,2017,police,Arrest Counts,0
Bristol Police,Bristol, Asian,2017,police,Arrest Counts,0
Bristol Police,Bristol, Hispanic,2017,police,Arrest Counts,0
Bristol Police,Bristol, White,2018,police,Arrest Counts,3
Bristol Police,Bristol, Black,2018,police,Arrest Counts,0
Bristol Police,Bristol, Asian,2018,police,Arrest Counts,0
Bristol Police,Bristol, Hispanic,2018,police,Arrest Counts,0
Burlington Police,Burlington, White,2012,police,Arrest Counts,58
Burlington Police,Burlington, Black,2012,police,Arrest Counts,5
Burlington Police,Burlington, Asian,2012,police,Arrest Counts,2
Burlington Police,Burlington, Hispanic,2012,police,Arrest Counts,0
Burlington Police,Burlington, White,2013,police,Arrest Counts,35
Burlington Police,Burlington, Black,2013,police,Arrest Counts,7
Burlington Police,Burlington, Asian,2013,police,Arrest Counts,0
Burlington Police,Burlington, Hispanic,2013,police,Arrest Counts,0
Burlington Police,Burlington, White,2014,police,Arrest Counts,32
Burlington Police,Burlington, Black,2014,police,Arrest Counts,4
Burlington Police,Burlington, Asian,2014,police,Arrest Counts,4
Burlington Police,Burlington, Hispanic,2014,police,Arrest Counts,0
Burlington Police,Burlington, White,2015,police,Arrest Counts,61
Burlington Police,Burlington, Black,2015,police,Arrest Counts,8
Burlington Police,Burlington, Asian,2015,police,Arrest Counts,2
Burlington Police,Burlington, Hispanic,2015,police,Arrest Counts,0
Burlington Police,Burlington, White,2016,police,Arrest Counts,39
Burlington Police,Burlington, Black,2016,police,Arrest Counts,3
Burlington Police,Burlington, Asian,2016,police,Arrest Counts,1
Burlington Police,Burlington, Hispanic,2016,police,Arrest Counts,1
Burlington Police,Burlington, White,2017,police,Arrest Counts,24
Burlington Police,Burlington, Black,2017,police,Arrest Counts,7
Burlington Police,Burlington, Asian,2017,police,Arrest Counts,2
Burlington Police,Burlington, Hispanic,2017,police,Arrest Counts,0
Burlington Police,Burlington, White,2018,police,Arrest Counts,12
Burlington Police,Burlington, Black,2018,police,Arrest Counts,6
Burlington Police,Burlington, Asian,2018,police,Arrest Counts,1
Burlington Police,Burlington, Hispanic,2018,police,Arrest Counts,0
Burlington Police,Burlington, White,2019,police,Arrest Counts,9
Burlington Police,Burlington, Black,2019,police,Arrest Counts,4
Burlington Police,Burlington, Asian,2019,police,Arrest Counts,0
Burlington Police,Burlington, Hispanic,2019,police,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, White,2015,sheriff,Arrest Counts,2
Caledonia County Sheriff,Caledonia County, Black,2015,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Asian,2015,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Hispanic,2015,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, White,2016,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Black,2016,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Asian,2016,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, White,2017,sheriff,Arrest Counts,7
Caledonia County Sheriff,Caledonia County, Black,2017,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Asian,2017,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, White,2018,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Black,2018,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Asian,2018,sheriff,Arrest Counts,0
Caledonia County Sheriff,Caledonia County, Hispanic,2018,sheriff,Arrest Counts,0
