Agency,"Sorted Race","Driver Area",Race,Years,"Agency Type",ShortAgencyName,"Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",ArrestDiffZScore,ArrestDiffPIsLT5pct,MalesDiffPIsLT5pct,"Agencies Included",RaceBarStyle,Tooltip,DriverPctInfo,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (PC/RS) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (PC/RS) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct",ACSCount
"Bennington County Sheriff","3 - Asian","Bennington County"," Asian",2017-18,sheriff,"Bennington County",TRUE,36,3986,0,15,21,22,3865,2257,0.02900000000,0.009,0.311,1,0.0000,0.4167,0.5833,0.0023,0.5120,0.5012,0.6111,0.5840,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Bennington County",0,0,0,0,0.000,0.000,0.000,0.000,215
"Bennington County Sheriff","5 - Hispanic","Bennington County"," Hispanic",2017-18,sheriff,"Bennington County",TRUE,34,3986,0,10,24,20,3865,2257,0.00000000000,0.009,NULL,1,0.0000,0.2941,0.7059,0.0023,0.5120,0.5012,0.5882,0.5840,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Bennington County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bennington Police","1 - White",Bennington," White",2014-19,police,Bennington,TRUE,22480,23850,351,14589,7185,13354,22480,13354,0.95900000000,0.943,0.983,1,0.0156,0.6490,0.3196,0.0156,0.6490,0.3196,0.5940,0.5940,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Bennington County",277,202,192,55,0.012,0.729,0.693,0.199,7221
"Bennington Police","2 - Black",Bennington," Black",2014-19,police,Bennington,TRUE,630,23850,14,391,223,472,22480,13354,0.01900000000,0.026,1.390,1,0.0222,0.6206,0.3540,0.0156,0.6490,0.3196,0.7492,0.5940,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Bennington County",31,24,21,2,0.049,0.774,0.677,0.065,59
"Bennington Police","3 - Asian",Bennington," Asian",2014-19,police,Bennington,TRUE,346,23850,4,263,78,228,22480,13354,0.01400000000,0.015,1.036,1,0.0116,0.7601,0.2254,0.0156,0.6490,0.3196,0.6590,0.5940,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Bennington County",2,2,2,1,0.006,1.000,1.000,0.500,67
"Bennington Police","5 - Hispanic",Bennington," Hispanic",2014-19,police,Bennington,TRUE,368,23850,13,218,135,261,22480,13354,0.00800000000,0.015,1.929,1,0.0353,0.5924,0.3668,0.0156,0.6490,0.3196,0.7092,0.5940,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Bennington County",7,6,6,2,0.019,0.857,0.857,0.286,0
"Berlin Police","1 - White",Berlin," White",2015-18,police,Berlin,TRUE,2662,2777,75,600,1537,1640,2662,1640,0.97100000000,0.959,0.987,1,0.0282,0.2254,0.5774,0.0282,0.2254,0.5774,0.6161,0.6161,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Washington County",57,45,23,6,0.021,0.789,0.404,0.105,2372
"Berlin Police","2 - Black",Berlin," Black",2015-18,police,Berlin,TRUE,68,2777,5,13,40,54,2662,1640,0.01300000000,0.024,1.884,1,0.0735,0.1912,0.5882,0.0282,0.2254,0.5774,0.7941,0.6161,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Washington County",5,4,1,1,0.074,0.800,0.200,0.200,12
"Berlin Police","3 - Asian",Berlin," Asian","2015-16,18",police,Berlin,TRUE,28,2676,0,3,20,17,2566,1576,0.01000000000,0.010,1.046,1,0.0000,0.1071,0.7143,0.0292,0.2214,0.5748,0.6071,0.6142,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Washington County",1,0,0,0,0.036,0.000,0.000,0.000,22
"Berlin Police","5 - Hispanic",Berlin," Hispanic",2016-18,police,Berlin,FALSE,18,2710,0,0,0,13,2598,1598,0.00600000000,0.007,1.107,1,,,,0.0289,0.2309,0.5916,,0.6151,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bradford Police","1 - White",Bradford," White",2015-18,police,Bradford,TRUE,1604,1620,0,122,1481,873,1604,873,0.92900000000,0.990,1.066,1,0.0000,0.0761,0.9233,0.0000,0.0761,0.9233,0.5443,0.5443,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,490
"Bradford Police","2 - Black",Bradford," Black",2017-18,police,Bradford,FALSE,5,1595,0,0,0,4,1579,863,0.01800000000,0.003,0.174,1,,,,0.0000,0.0773,0.9379,,0.5465,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bradford Police","3 - Asian",Bradford," Asian",2017-18,police,Bradford,FALSE,3,1595,0,0,0,1,1579,863,0.01800000000,0.002,0.104,1,,,,0.0000,0.0773,0.9379,,0.5465,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bradford Police","5 - Hispanic",Bradford," Hispanic",2017-18,police,Bradford,FALSE,7,1595,0,0,0,6,1579,863,0.03600000000,0.004,0.122,1,,,,0.0000,0.0773,0.9379,,0.5465,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Brandon Police","1 - White",Brandon," White",2014-18,police,Brandon,TRUE,2790,2868,58,760,1878,1715,2790,1715,0.95700000000,0.973,1.017,1,0.0208,0.2724,0.6731,0.0208,0.2724,0.6731,0.6147,0.6147,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",57,36,33,11,0.020,0.632,0.579,0.193,1107
"Brandon Police","2 - Black",Brandon," Black",2014-18,police,Brandon,TRUE,42,2868,1,12,28,26,2790,1715,0.01800000000,0.015,0.814,1,0.0238,0.2857,0.6667,0.0208,0.2724,0.6731,0.6190,0.6147,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Rutland County",3,1,1,0,0.071,0.333,0.333,0.000,0
"Brandon Police","3 - Asian",Brandon," Asian",2014-18,police,Brandon,FALSE,19,2868,0,0,0,11,2790,1715,0.01500000000,0.007,0.442,1,,,,0.0208,0.2724,0.6731,,0.6147,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,34
"Brandon Police","5 - Hispanic",Brandon," Hispanic",2014-18,police,Brandon,FALSE,16,2868,0,0,0,12,2790,1715,0.00900000000,0.006,0.620,1,,,,0.0208,0.2724,0.6731,,0.6147,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Brattleboro Police","1 - White",Brattleboro," White",2014-19,police,Brattleboro,TRUE,17862,18830,137,2258,15315,9895,17862,9895,0.95500000000,0.949,0.993,1,0.0077,0.1264,0.8574,0.0077,0.1264,0.8574,0.5540,0.5540,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windham County",57,28,21,13,0.003,0.491,0.368,0.228,5496
"Brattleboro Police","2 - Black",Brattleboro," Black",2014-19,police,Brattleboro,TRUE,568,18830,21,132,422,383,17862,9895,0.02200000000,0.030,1.371,1,0.0370,0.2324,0.7430,0.0077,0.1264,0.8574,0.6743,0.5540,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windham County",16,6,5,3,0.028,0.375,0.313,0.188,111
"Brattleboro Police","3 - Asian",Brattleboro," Asian",2014-19,police,Brattleboro,TRUE,203,18830,1,28,171,119,17862,9895,0.01800000000,0.011,0.599,1,0.0049,0.1379,0.8424,0.0077,0.1264,0.8574,0.5862,0.5540,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windham County",2,0,0,0,0.010,0.000,0.000,0.000,178
"Brattleboro Police","5 - Hispanic",Brattleboro," Hispanic",2014-19,police,Brattleboro,TRUE,193,18830,4,30,160,143,17862,9895,0.00500000000,0.010,2.050,1,0.0207,0.1554,0.8290,0.0077,0.1264,0.8574,0.7409,0.5540,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windham County",1,0,0,0,0.005,0.000,0.000,0.000,0
"Bristol Police","1 - White",Bristol," White",2014-18,police,Bristol,TRUE,1403,1435,12,690,691,833,1403,833,0.95100000000,0.978,1.028,1,0.0086,0.4918,0.4925,0.0086,0.4918,0.4925,0.5937,0.5937,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Addison County",17,15,14,2,0.012,0.882,0.824,0.118,1429
"Bristol Police","2 - Black",Bristol," Black","2014-15,17,18",police,Bristol,FALSE,16,1324,0,0,0,9,1292,767,0.02400000000,0.012,0.504,1,,,,0.0077,0.4830,0.5023,,0.5937,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,61
"Bristol Police","3 - Asian",Bristol," Asian",2017-18,police,Bristol,FALSE,5,967,0,0,0,3,941,549,0.01200000000,0.005,0.431,1,,,,0.0053,0.3889,0.6047,,0.5834,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,36
"Bristol Police","5 - Hispanic",Bristol," Hispanic","2015,17-18",police,Bristol,FALSE,9,1253,0,0,0,7,1224,722,0.01200000000,0.007,0.599,1,,,,0.0065,0.4755,0.5123,,0.5899,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Burlington Police","1 - White",Burlington," White",2012-19,police,Burlington,TRUE,28652,33071,270,6756,21456,16326,28652,16326,0.87300000000,0.866,0.992,1,0.0094,0.2358,0.7488,0.0094,0.2358,0.7488,0.5698,0.5698,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",345,249,143,35,0.012,0.722,0.414,0.101,33145
"Burlington Police","2 - Black",Burlington," Black",2012-19,police,Burlington,TRUE,2760,33071,44,823,1911,1984,28652,16326,0.06400000000,0.083,1.304,1,0.0159,0.2982,0.6924,0.0094,0.2358,0.7488,0.7188,0.5698,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",118,77,54,12,0.043,0.653,0.458,0.102,1992
"Burlington Police","3 - Asian",Burlington," Asian",2012-19,police,Burlington,TRUE,1411,33071,12,322,1062,907,28652,16326,0.05400000000,0.043,0.790,1,0.0085,0.2282,0.7527,0.0094,0.2358,0.7488,0.6428,0.5698,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",7,4,4,2,0.005,0.571,0.571,0.286,2575
"Burlington Police","5 - Hispanic",Burlington," Hispanic",2012-19,police,Burlington,TRUE,231,33071,2,77,163,154,28652,16326,0.00900000000,0.007,0.776,1,0.0087,0.3333,0.7056,0.0094,0.2358,0.7488,0.6667,0.5698,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",6,3,3,1,0.026,0.500,0.500,0.167,0
"Caledonia County Sheriff","1 - White","Caledonia County"," White",2015-18,sheriff,"Caledonia County",TRUE,1173,1201,9,888,288,718,1173,718,1.00000000000,0.977,0.977,1,0.0077,0.7570,0.2455,0.0077,0.7570,0.2455,0.6121,0.6121,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Caledonia County",10,6,5,2,0.009,0.600,0.500,0.200,24767
"Caledonia County Sheriff","2 - Black","Caledonia County"," Black",2015-18,sheriff,"Caledonia County",FALSE,17,1201,0,0,0,13,1173,718,0.01100000000,0.014,1.287,1,,,,0.0077,0.7570,0.2455,,0.6121,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,261
"Caledonia County Sheriff","3 - Asian","Caledonia County"," Asian",2015-18,sheriff,"Caledonia County",FALSE,6,1201,0,0,0,3,1173,718,0.01200000000,0.005,0.416,1,,,,0.0077,0.7570,0.2455,,0.6121,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,308
"Caledonia County Sheriff","5 - Hispanic","Caledonia County"," Hispanic",2015;2018,sheriff,"Caledonia County",FALSE,2,354,0,0,0,2,345,203,0.00000000000,0.006,NULL,1,,,,0.0058,0.7449,0.2580,,0.5884,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Castleton Police","1 - White",Castleton," White",2016-18,police,Castleton,TRUE,2657,2731,5,1551,108,1560,2657,1560,0.98500000000,0.973,0.988,1,0.0019,0.5837,0.0406,0.0019,0.5837,0.0406,0.5871,0.5871,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",12,11,11,0,0.005,0.917,0.917,0.000,1264
"Castleton Police","2 - Black",Castleton," Black",2016-18,police,Castleton,TRUE,40,2731,0,20,0,31,2657,1560,0.01000000000,0.015,1.465,1,0.0000,0.5000,0.0000,0.0019,0.5837,0.0406,0.7750,0.5871,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Rutland County",2,2,2,0,0.050,1.000,1.000,0.000,24
"Castleton Police","3 - Asian",Castleton," Asian",2016-18,police,Castleton,FALSE,15,2731,0,0,0,9,2657,1560,0.00500000000,0.005,1.098,1,,,,0.0019,0.5837,0.0406,,0.5871,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,26
"Castleton Police","5 - Hispanic",Castleton," Hispanic",2016-18,police,Castleton,FALSE,19,2731,0,0,0,11,2657,1560,0.00000000000,0.007,NULL,1,,,,0.0019,0.5837,0.0406,,0.5871,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Chester Police","1 - White",Chester," White",2016-18,police,Chester,TRUE,853,924,0,727,113,590,853,590,0.93700000000,0.923,0.985,1,0.0000,0.8523,0.1325,0.0000,0.8523,0.1325,0.6917,0.6917,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windsor County",1,1,1,0,0.001,1.000,1.000,0.000,662
"Chester Police","2 - Black",Chester," Black",2016-18,police,Chester,FALSE,16,924,0,0,0,15,853,590,0.02100000000,0.017,0.825,1,,,,0.0000,0.8523,0.1325,,0.6917,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Chester Police","3 - Asian",Chester," Asian",2016-18,police,Chester,TRUE,23,924,0,23,0,18,853,590,0.02100000000,0.025,1.185,1,0.0000,1.0000,0.0000,0.0000,0.8523,0.1325,0.7826,0.6917,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Chester Police","5 - Hispanic",Chester," Hispanic",2017-18,police,Chester,TRUE,24,821,0,21,2,21,752,531,0.02100000000,0.029,1.392,1,0.0000,0.8750,0.0833,0.0000,0.9202,0.0638,0.8750,0.7061,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Chittenden County Sheriff","1 - White","Chittenden County"," White",2015-18,sheriff,"Chittenden County",TRUE,7873,8214,59,4106,3899,4726,7873,4726,1.00000000000,0.958,0.958,1,0.0075,0.5215,0.4952,0.0075,0.5215,0.4952,0.6003,0.6003,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",37,23,23,5,0.005,0.622,0.622,0.135,125749
"Chittenden County Sheriff","2 - Black","Chittenden County"," Black",2015-18,sheriff,"Chittenden County",TRUE,205,8214,1,104,107,147,7873,4726,0.03000000000,0.025,0.832,1,0.0049,0.5073,0.5220,0.0075,0.5215,0.4952,0.7171,0.6003,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",3,2,2,0,0.015,0.667,0.667,0.000,3602
"Chittenden County Sheriff","3 - Asian","Chittenden County"," Asian",2015-18,sheriff,"Chittenden County",TRUE,108,8214,0,51,58,66,7873,4726,0.04600000000,0.013,0.286,1,0.0000,0.4722,0.5370,0.0075,0.5215,0.4952,0.6111,0.6003,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,6193
"Chittenden County Sheriff","5 - Hispanic","Chittenden County"," Hispanic",2018,sheriff,"Chittenden County",TRUE,25,2215,0,15,12,15,2109,1287,0.00000000000,0.011,NULL,1,0.0000,0.6000,0.4800,0.0057,0.5273,0.4893,0.6000,0.6102,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Colchester Police","1 - White",Colchester," White",2014-19,police,Colchester,TRUE,17800,19088,116,5531,12481,10623,17800,10623,0.94400000000,0.933,0.988,1,0.0065,0.3107,0.7012,0.0065,0.3107,0.7012,0.5968,0.5968,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",212,172,139,8,0.012,0.811,0.656,0.038,14136
"Colchester Police","2 - Black",Colchester," Black",2014-19,police,Colchester,TRUE,801,19088,16,267,544,612,17800,10623,0.03400000000,0.042,1.234,1,0.0200,0.3333,0.6792,0.0065,0.3107,0.7012,0.7640,0.5968,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",21,14,11,2,0.026,0.667,0.524,0.095,185
"Colchester Police","3 - Asian",Colchester," Asian",2014-19,police,Colchester,TRUE,375,19088,1,107,270,234,17800,10623,0.01900000000,0.020,1.034,1,0.0027,0.2853,0.7200,0.0065,0.3107,0.7012,0.6240,0.5968,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",3,3,2,1,0.008,1.000,0.667,0.333,373
"Colchester Police","5 - Hispanic",Colchester," Hispanic",2014-19,police,Colchester,TRUE,105,19088,0,33,75,68,17800,10623,0.00300000000,0.006,1.834,1,0.0000,0.3143,0.7143,0.0065,0.3107,0.7012,0.6476,0.5968,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",1,1,1,0,0.010,1.000,1.000,0.000,0
"Dover Police","1 - White",Dover," White",2015-18,police,Dover,TRUE,980,1056,1,361,633,665,980,665,0.96600000000,0.928,0.961,1,0.0010,0.3684,0.6459,0.0010,0.3684,0.6459,0.6786,0.6786,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windham County",5,5,5,0,0.005,1.000,1.000,0.000,973
"Dover Police","2 - Black",Dover," Black",2015-18,police,Dover,TRUE,21,1056,0,5,17,19,980,665,0.00700000000,0.020,2.841,1,0.0000,0.2381,0.8095,0.0010,0.3684,0.6459,0.9048,0.6786,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windham County",1,1,1,0,0.048,1.000,1.000,0.000,15
"Dover Police","3 - Asian",Dover," Asian",2015-18,police,Dover,FALSE,13,1056,0,0,0,9,980,665,0.01100000000,0.012,1.119,1,,,,0.0010,0.3684,0.6459,,0.6786,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windham County",0,0,0,0,0.000,0.000,0.000,0.000,16
"Dover Police","5 - Hispanic",Dover," Hispanic",2015-18,police,Dover,TRUE,41,1056,0,19,22,30,980,665,0.01500000000,0.039,2.588,1,0.0000,0.4634,0.5366,0.0010,0.3684,0.6459,0.7317,0.6786,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windham County",1,1,1,0,0.024,1.000,1.000,0.000,0
"Essex Police","1 - White",Essex," White",2014-19,police,Essex,TRUE,17173,18572,158,4801,12392,10047,17173,10047,0.93100000000,0.925,0.993,1,0.0092,0.2796,0.7216,0.0092,0.2796,0.7216,0.5850,0.5850,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",81,63,55,25,0.005,0.778,0.679,0.309,7437
"Essex Police","2 - Black",Essex," Black",2014-19,police,Essex,TRUE,682,18572,5,240,451,490,17173,10047,0.02600000000,0.037,1.412,1,0.0073,0.3519,0.6613,0.0092,0.2796,0.7216,0.7185,0.5850,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",6,5,5,0,0.009,0.833,0.833,0.000,197
"Essex Police","3 - Asian",Essex," Asian",2014-19,police,Essex,TRUE,506,18572,1,141,370,329,17173,10047,0.03500000000,0.027,0.778,1,0.0020,0.2787,0.7312,0.0092,0.2796,0.7216,0.6502,0.5850,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",2,2,2,0,0.004,1.000,1.000,0.000,605
"Essex Police","5 - Hispanic",Essex," Hispanic",2014-19,police,Essex,TRUE,188,18572,1,73,119,137,17173,10047,0.00800000000,0.010,1.265,1,0.0053,0.3883,0.6330,0.0092,0.2796,0.7216,0.7287,0.5850,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",3,3,3,0,0.016,1.000,1.000,0.000,0
"Fair Haven Police","1 - White","Fair Haven"," White","2015,17-18",police,"Fair Haven",TRUE,2040,2129,12,1670,362,1215,2040,1215,0.95000000000,0.958,1.009,1,0.0059,0.8186,0.1775,0.0059,0.8186,0.1775,0.5956,0.5956,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",7,6,6,1,0.003,0.857,0.857,0.143,1800
"Fair Haven Police","2 - Black","Fair Haven"," Black","2015,17-18",police,"Fair Haven",TRUE,38,2129,0,31,7,29,2040,1215,0.01700000000,0.018,1.050,1,0.0000,0.8158,0.1842,0.0059,0.8186,0.1775,0.7632,0.5956,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,28
"Fair Haven Police","3 - Asian","Fair Haven"," Asian","2015,17-18",police,"Fair Haven",TRUE,28,2129,0,26,2,21,2040,1215,0.02600000000,0.013,0.506,1,0.0000,0.9286,0.0714,0.0059,0.8186,0.1775,0.7500,0.5956,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,59
"Fair Haven Police","5 - Hispanic","Fair Haven"," Hispanic",2017-18,police,"Fair Haven",TRUE,22,1766,1,19,2,14,1684,1007,0.00700000000,0.012,1.780,1,0.0455,0.8636,0.0909,0.0065,0.8949,0.0980,0.6364,0.5980,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Fairlee Police","1 - White",Fairlee," White","2015,17-18",police,Fairlee,TRUE,172,177,0,43,97,117,172,117,0.96200000000,0.972,1.010,1,0.0000,0.2500,0.5640,0.0000,0.2500,0.5640,0.6802,0.6802,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,195
"Fairlee Police","2 - Black",Fairlee," Black",2015,police,Fairlee,FALSE,3,110,0,0,0,0,106,68,0.00000000000,0.027,NULL,1,,,,0.0000,0.1226,0.8774,,0.6415,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Fairlee Police","5 - Hispanic",Fairlee," Hispanic",2015;2018,police,Fairlee,FALSE,2,155,0,0,0,2,150,99,0.00000000000,0.013,NULL,1,,,,0.0000,0.1400,0.6467,,0.6600,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Franklin County Sheriff","1 - White","Franklin County"," White",2017-18,sheriff,"Franklin County",TRUE,2757,2801,88,1046,1594,1836,2757,1836,0.95700000000,0.984,1.029,1,0.0319,0.3794,0.5782,0.0319,0.3794,0.5782,0.6659,0.6659,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Franklin County",38,31,27,13,0.014,0.816,0.711,0.342,37978
"Franklin County Sheriff","2 - Black","Franklin County"," Black",2017-18,sheriff,"Franklin County",TRUE,22,2801,1,13,8,19,2757,1836,0.02000000000,0.008,0.393,1,0.0455,0.5909,0.3636,0.0319,0.3794,0.5782,0.8636,0.6659,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Franklin County",0,0,0,0,0.000,0.000,0.000,0.000,469
"Franklin County Sheriff","3 - Asian","Franklin County"," Asian",2017-18,sheriff,"Franklin County",FALSE,17,2801,0,0,0,12,2757,1836,0.02000000000,0.006,0.303,1,,,,0.0319,0.3794,0.5782,,0.6659,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Franklin County",0,0,0,0,0.000,0.000,0.000,0.000,242
"Franklin County Sheriff","5 - Hispanic","Franklin County"," Hispanic",2018,sheriff,"Franklin County",FALSE,3,1382,0,0,0,2,1365,900,0.00300000000,0.002,0.724,1,,,,0.0359,0.3641,0.6095,,0.6593,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Franklin County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Grand Isle Sheriff","1 - White","Grand Isle County"," White",2014-18,sheriff,"Grand Isle County",TRUE,8202,8461,11,1367,7030,5191,8202,5191,0.98700000000,0.969,0.982,1,0.0013,0.1667,0.8571,0.0013,0.1667,0.8571,0.6329,0.6329,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Grand Isle County",35,28,25,1,0.004,0.800,0.714,0.029,5628
"Grand Isle Sheriff","2 - Black","Grand Isle County"," Black",2014-18,sheriff,"Grand Isle County",TRUE,130,8461,1,31,104,96,8202,5191,0.00400000000,0.015,3.841,1,0.0077,0.2385,0.8000,0.0013,0.1667,0.8571,0.7385,0.6329,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Grand Isle County",2,1,1,1,0.015,0.500,0.500,0.500,24
"Grand Isle Sheriff","3 - Asian","Grand Isle County"," Asian",2014-18,sheriff,"Grand Isle County",TRUE,60,8461,0,14,46,42,8202,5191,0.00500000000,0.007,1.418,1,0.0000,0.2333,0.7667,0.0013,0.1667,0.8571,0.7000,0.6329,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Grand Isle County",0,0,0,0,0.000,0.000,0.000,0.000,36
"Grand Isle Sheriff","5 - Hispanic","Grand Isle County"," Hispanic",2014-18,sheriff,"Grand Isle County",TRUE,63,8461,0,19,44,51,8202,5191,0.00800000000,0.007,0.931,1,0.0000,0.3016,0.6984,0.0013,0.1667,0.8571,0.8095,0.6329,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Grand Isle County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Hardwick Police","1 - White",Hardwick," White",2015-18,police,Hardwick,TRUE,1691,1737,30,468,1140,1076,1691,1076,0.97300000000,0.974,1.001,1,0.0177,0.2768,0.6742,0.0177,0.2768,0.6742,0.6363,0.6363,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Caledonia County",67,54,43,8,0.040,0.806,0.642,0.119,1128
"Hardwick Police","2 - Black",Hardwick," Black",2015-18,police,Hardwick,TRUE,36,1737,1,5,28,25,1691,1076,0.01100000000,0.021,1.884,1,0.0278,0.1389,0.7778,0.0177,0.2768,0.6742,0.6944,0.6363,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,18
"Hardwick Police","3 - Asian",Hardwick," Asian",2015-17,police,Hardwick,FALSE,8,1408,0,0,0,4,1373,873,0.00900000000,0.006,0.631,1,,,,0.0175,0.2862,0.6642,,0.6358,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,27
